year,id,ifr_itin_ac,ifr_itin_at,ifr_itin_ga,ifr_itin_mil,ifr_itin,vfr_itin_ac,vfr_itin_at,vfr_itin_ga,vfr_itin_mil,vfr_itin,itin_ac,itin_at,itin_ga,itin_mil,itin,local_civil,local_mil,local,total_ops
2000,CNO,0,31,26687,21,26739,0,193,58067,228,58488,0,224,84754,249,85227,75445,57,75502,160729
2000,COS,29784,13461,13462,10700,67407,354,2123,40937,3472,46886,30138,15584,54399,14172,114293,95521,10925,106446,220739
2000,COU,56,6106,7697,66,13925,123,1475,14473,710,16781,179,7581,22170,776,30706,9406,1650,11056,41762
2000,CPR,638,14551,6401,69,21659,109,936,10983,208,12236,747,15487,17384,277,33895,9076,136,9212,43107
2000,CPS,0,5194,14624,87,19905,0,1574,42177,261,44012,0,6768,56801,348,63917,105079,642,105721,169638
2000,CRE,0,1040,18640,157,19837,0,984,13732,428,15144,0,2024,32372,585,34981,11424,92,11516,46497
2000,CRG,0,5213,19799,118,25130,0,1681,46322,11271,59274,0,6894,66121,11389,84404,38522,2307,40829,125233
2000,CRP,10833,12956,14932,15449,54170,1154,2580,12775,304,16813,11987,15536,27707,15753,70983,15135,43013,58148,129131
2000,CRQ,0,12692,45599,426,58717,0,3853,106585,7462,117900,0,16545,152184,7888,176617,78405,74,78479,255096
2000,CRW,5219,27569,15379,3848,52015,272,7513,14385,892,23062,5491,35082,29764,4740,75077,8542,4663,13205,88282
2000,CSG,2984,7703,14095,227,25009,56,226,15447,222,15951,3040,7929,29542,449,40960,20097,508,20605,61565
2000,CVG,180319,265101,17326,598,463344,118,406,13164,812,14500,180437,265507,30490,1410,477844,0,0,0,477844
2000,CWA,42,17164,2979,134,20319,94,1153,7099,474,8820,136,18317,10078,608,29139,8282,1050,9332,38471
2000,CXY,19,244,10608,327,11198,53,462,27575,1180,29270,72,706,38183,1507,40468,21001,4584,25585,66053
2000,CYS,3,1319,1264,1000,3586,141,7271,12904,2755,23071,144,8590,14168,3755,26657,7694,10964,18658,45315
2000,DAB,3905,2161,78800,386,85252,475,495,219005,608,220583,4380,2656,297805,994,305835,66173,7,66180,372015
2000,DAL,104577,36180,64092,865,205714,445,17624,32809,195,51073,105022,53804,96901,1060,256787,0,0,0,256787
2000,DAY,62602,38012,25018,1240,126872,452,419,10127,346,11344,63054,38431,35145,1586,138216,6865,42,6907,145123
2000,DBQ,0,8223,5534,2,13759,6,638,15779,62,16485,6,8861,21313,64,30244,14424,10,14434,44678
2000,DCA,174750,88158,44549,5283,312740,132,118,14743,14744,29737,174882,88276,59292,20027,342477,0,313,313,342790
2000,DEC,0,3758,8391,793,12942,0,557,12856,1759,15172,0,4315,21247,2552,28114,18406,4449,22855,50969
2000,DEN,368972,138186,10981,744,518883,1100,4476,3874,176,9626,370072,142662,14855,920,528509,95,0,95,528604
2000,DET,3669,5953,17440,24,27086,667,4216,79558,790,85231,4336,10169,96998,814,112317,41418,97,41515,153832
2000,DFW,600055,213227,13454,92,826828,4717,3779,1905,142,10543,604772,217006,15359,234,837371,28200,206,28406,865777
2000,DHN,1152,6456,11148,11384,30140,262,910,13668,9967,24807,1414,7366,24816,21351,54947,15900,24080,39980,94927
2000,DLH,7596,4830,9238,3762,25426,148,402,13883,1090,15523,7744,5232,23121,4852,40949,14374,6310,20684,61633
2000,DPA,0,940,32219,5,33164,0,486,79331,47,79864,0,1426,111550,52,113028,87754,56,87810,200838
2000,DSM,34322,32356,28983,2583,98244,258,1270,15723,173,17424,34580,33626,44706,2756,115668,10183,1817,12000,127668
2000,DTW,323034,157966,32524,1183,514707,4173,2347,32779,403,39702,327207,160313,65303,1586,554409,171,0,171,554580
2000,DVT,0,142,4872,3,5017,0,6641,160107,607,167355,0,6783,164979,610,172372,198331,76,198407,370779
2000,DWH,0,90,12621,1347,14058,0,1314,70335,1316,72965,0,1404,82956,2663,87023,130261,1794,132055,219078
2000,DXR,0,11,4933,0,4944,0,66,45912,65,46043,0,77,50845,65,50987,63519,83,63602,114589
2000,EGE,3053,6448,9899,46,19446,548,904,9157,2199,12808,3601,7352,19056,2245,32254,6515,842,7357,39611
2000,EKO,1888,9068,1413,8,12377,296,1179,9696,140,11311,2184,10247,11109,148,23688,4207,32,4239,27927
2000,ELM,2714,12895,10898,160,26667,50,254,9442,122,9868,2764,13149,20340,282,36535,23370,206,23576,60111
